"","Name","Obs Info","Exposure (s)","RA","RA_Err (arcsec)","Dec","Dec_Err (arcsec)","Sep_obj (arcmin)","RA_Match","Dec_Match","Flux (erg/cm^2/s)","Flux Err","Rate","SNR","Hardness","Name_Match","Version"
"","EPF_J001529.5-391321","11908406531FXTB0101FF01","202.0009039342403","3.8731","1.8178","-39.2226","2.4908","0.13232545890189965","3.87","-39.2225","2.3022e-12","4.9101e-13","0.1316","11.6312","0","1eRASS J001528.8-391321","0101"
"","EPF_J001447.2-391128","11908406531FXTB0101FF01","202.0009039342403","3.6966","3.9662","-39.1911","3.1903","8.289011514585784","","","1.6721e-12","4.2164e-13","0.0931","7.6654","0","","0101"
"","EPF_J001446.7-391441","11908406531FXTB0101FF01","202.0009039342403","3.6945","3.4293","-39.2447","2.6681","8.288547021756484","","","8.368e-13","3.1917e-13","0.0418","5.4798","0","","0101"
