"","Name","Obs Info","Exposure (s)","RA","RA_Err (arcsec)","Dec","Dec_Err (arcsec)","Sep_obj (arcmin)","RA_Match","Dec_Match","Flux (erg/cm^2/s)","Flux Err","Rate","SNR","Hardness","Name_Match","Version"
"","EPF_J001529.5-391321","11908406531FXTA0101FF01","203.0002585053444","3.8724","3.4378","-39.2216","2.7034","0.09470138699279991","3.87","-39.2225","1.0568e-12","2.9839e-13","0.0769","8.5213","0","1eRASS J001528.8-391321","0101"
"","EPF_J001447.2-391128","11908406531FXTA0101FF01","203.0002585053444","3.6984","3.4627","-39.1899","2.5823","8.2240306247404","","","1.767e-12","3.8409e-13","0.112","9.2639","0.0026","","0101"
"","EPF_J001446.7-391441","11908406531FXTA0101FF01","203.0002585053444","3.6897","3.5259","-39.2451","1.736","8.512513477425255","3.6898","-39.2437","4.1388e-13","1.9054e-13","0.0289","5.4424","0","1eRASS J001445.5-391437","0101"
