source,para,value,value_down,value_up
x3,NH,0.004910685057 ,0.0,0.2473400964
x3,Flux,-11.5648438 ,-11.77456189,-11.40350426
x3,PhotonIndex,1.044122529 ,0.7719445881,1.909939596
x3,dof,1.946969173,5.0,8.0
